"customer_id","client","route_ids","pickup_days","total_parcels_created","average_parcels_per_pickup_day","max_parcels_in_one_day","total_shipments_created","dates"
"145496","MATCO PACKAGING INC","50016","5","87","17.4","62","28","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"145898","MEDIATECH","50009","4","196","49","81","77","2026-08-03 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"145915","MEDIQUE MEDICAL SUPPLIES ( MGBR ) INC","50018","5","109","21.8","29","65","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"101472","MESSAGERIES A.D.P. INC. (RETOURS)","50013","5","136","27.2","38","26","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"145969","MIDLAND TRANSPORT LIMITED","50004 / 50018 / 50006 / 50018","5","415","83","100","230","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"182019","NASRI  INTERNATIONAL INC","50007 / 50014","5","177","35.4","100","70","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"150936","NOBLE GIFT","50014","5","146","29.2","98","67","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"302184","NORKA LIVING","50016","5","55","11","21","43","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303523","NOVENTRA INDUSTRIES","50027","2","0","0","0","0","2026-08-04 / 2026-08-06"
"303452","PARAMEDIC CANADA INC.","50017","2","186","93","96","63","2026-08-03 / 2026-08-06"
"154786","PRO PNEUS DEMARTIGNY INC","50017","5","0","0","0","0","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"159947","PRODUITS SANITAIRES ROYAL NET INC.","50002","5","48","9.6","17","37","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"156202","PROLOGUE (RETOURS)","50024","5","84","16.8","33","32","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"163000","PROMOTION DU LIVRE SDM INC","50002","5","0","0","0","0","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"301566","PROMOTION RODEL","50013","5","21","4.2","12","21","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"102620","PROMOTIONS ATLANTIQUES","50013","5","54","10.8","22","13","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"268418","PROVO LTD MTL","50016","5","224","44.8","64","39","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"158563","QUINCAILLERIE RICHELIEU LTEE","50009","5","190","38","92","190","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"102680","QUINCAILLERIE RICHELIEU LTEE RELIABLE","50001","5","222","44.4","74","222","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"158568","RICOCHET","50024","1","97","97","97","27","2026-08-07"
"158800","ROCHELEAU","50029","1","68","68","68","40","2026-08-03"
"301430","SAIL PLEIN AIR","50001","1","2","2","2","1","2026-08-04"
"161402","SANI-MARC INC.","50029","2","59","29.5","59","27","2026-08-06 / 2026-08-07"
"161425","SARSTEDT INC.                           ","50011","3","59","19.67","39","24","2026-08-04 / 2026-08-06 / 2026-08-07"
"302365","SHIPTO","50002","4","311","77.75","100","246","2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303538","SHIPTO 2","50002","5","0","0","0","0","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303003","SIMONS PICKUP ST-BRUNO","50012","5","0","0","0","0","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303041","SINOPÉ","50010","1","0","0","0","0","2026-08-04"
"303547","SPI HEALTH & SAFETY","50024","5","87","17.4","26","61","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"165506","SPICERS CANADA ULC","50002","5","184","36.8","52","82","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"302891","SUPERIOR SANY SOLUTIONS DIV. IMPERIAL DADE","50018","2","92","46","92","26","2026-08-03 / 2026-08-04"
"102570","SUPPLEMENTS AROMATIK INC.","50013","5","69","13.8","23","27","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"164964","SUZY'S INC","50016","2","1","0.5","1","1","2026-08-03 / 2026-08-06"
"302225","TANDEM 3PL","50001 / 50007","5","120","24","42","99","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"112140","TC MEDIA LIVRE INC (COLLECT)","50013 / 50027","5","95","19","26","57","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"302190","TECHNOLOGIES EDUCATIO INC","50011","4","267","66.75","95","265","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-07"
"165776","TOMRA CANADA INC","50019","5","119","23.8","37","94","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303299","TRUDEAU CORPORATION INTERNATIONAL INC","50027","1","4","4","4","4","2026-08-07"
"302293","UPSIDEDRINKS.CA","50001 / 50007","5","203","40.6","49","161","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"302414","WAREHOUSE","50024","5","308","61.6","73","265","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
"303513","YUPIK","50007 / 50014","5","78","15.6","27","47","2026-08-03 / 2026-08-04 / 2026-08-05 / 2026-08-06 / 2026-08-07"
