"jour","route_id","customer_id","client","heure_debut","heure_fin","note"
"Lundi","50118","303256","DISTRIBUTIONS EL-TEX","00:00:00","00:00:00",""
"Lundi","50002","120468","DOMINION BLUELINE","00:00:00","18:00:00",
"Lundi","50015","300630","DUFORT LAVIGNE ( ROBERT )","00:00:00","17:00:00",
"Lundi","50010","120790","DUROPAC","00:00:00","16:10:00",
"Lundi","50029","166045","EAB TOOL COMPANY","00:00:00","14:45:00",
"Lundi","55601","121385","EDELSTEIN DIVERSIFIED CO LTD - ECHOTAPE","00:00:00","15:00:00",
"Lundi","50001","302624","EMPIRE","00:00:00","15:30:00",
"Lundi","50005","121395","ERGOGRIP","00:00:00","15:15:00",
"Lundi","50002","301238","EVOLUTION","00:00:00","16:25:00",
"Lundi","50018","124547","FABRAPLY INC.","00:00:00","14:00:00",
"Lundi","50007","302339","FABRICVILLE","00:00:00","16:00:00",
"Lundi","50001","303201","FAMILYCROPS","00:00:00","15:35:00",
"Lundi","50013","125388","FORMEDICA LTEE","00:00:00","14:45:00",
"Lundi","50016","302958","FRANKLIN EMPIRE","00:00:00","16:45:00",
"Lundi","50011","129320","GRAND PRIX IMPORT","00:00:00","17:10:00",
"Lundi","50001","301022","GROUPE PHARMA","00:00:00","15:35:00",
"Lundi","50024","129900","GUAY BEAUTE INC","00:00:00","15:50:00",
"Lundi","50001","107860","HAMSTER (DIV. DE NOVEXCO INC.)","00:00:00","19:45:00",
"Lundi","50006","107860","HAMSTER (DIV. DE NOVEXCO INC.)","00:00:00","22:00:00",
"Lundi","50009","107860","HAMSTER (DIV. DE NOVEXCO INC.)","00:00:00","13:00:00","LIVRAISON DE RETOUR"
"Lundi","50002","130635","HARNOIS ENERGIES","00:00:00","15:30:00",
"Lundi","50011","131085","HIBBERT INTERNATIONAL INC.","00:00:00","16:15:00",
"Lundi","50012","300659","HMH ENVELOPPE","00:00:00","00:00:00",
"Lundi","50018","131875","HRS GLOBAL (9266-1677 QC INC)","00:00:00","14:30:00",
"Lundi","50004","303322","J.E. MONDOU MASCOUCHE","00:00:00","23:00:00",""
"Lundi","50019","303220","L'EMBALLAGE TOUT 3PL PIVAL STE-ANNE DE BELLEVUE","00:00:00","14:00:00","Ferme 14h40"
"Lundi","50028","301212","LA MAISON SIMONS","00:00:00","00:00:00",
"Lundi","50018","302189","LE JEAN BLEU INC","00:00:00","17:15:00",
"Lundi","50004","302061","LE MAGASIN DES COMMERÇANTS S&P","00:00:00","16:30:00",
"Lundi","50019","302180","LEADER AUTO RESSOURCE","00:00:00","16:00:00",
"Lundi","50002","168070","LES ATTACHES VISCAN","00:00:00","17:00:00",
"Lundi","50011","111445","LES EDITIONS CEC INC","00:00:00","15:30:00",
"Lundi","50024","157449","LES EQUIPEMENTS QUEMONT INC","00:00:00","16:30:00",
"Lundi","50011","164210","LES SOEURS EN VRAC","00:00:00","16:00:00",
"Lundi","50018","140702","LIEBERMANTEXTILES","00:00:00","15:00:00",""
"Lundi","50009","301776","LINEN CHEST","00:00:00","14:15:00",
"Lundi","50005","302039","LOTO-QUEBEC LOTERIES 2022","00:00:00","16:00:00",
"Lundi","50005","302039","LOTO-QUEBEC LOTERIES 2022","00:00:00","12:10:00",
"Lundi","50027","303591","MAISON JACYNTHE B2B","00:00:00","15:00:00",""
"Lundi","50027","303019","MAISON JACYNTHE INC","00:00:00","15:00:00",""
"Lundi","50008","302226","MARIE-CLAIRE B2B","00:00:00","14:15:00",
"Lundi","50024","145369","MARION DISTRIBUTION","00:00:00","15:15:00",
"Lundi","50001","145425","MARTECH","00:00:00","14:45:00",
"Lundi","50016","145496","MATCO PACKAGING INC","00:00:00","16:00:00",
"Lundi","50009","145898","MEDIATECH","00:00:00","15:30:00",""
"Lundi","50018","145915","MEDIQUE MEDICAL SUPPLIES ( MGBR ) INC","00:00:00","15:00:00",
"Lundi","55601","303085","MEGA VENTE D'ENTREPOT","00:00:00","13:30:00",
"Lundi","50011","101465","MESSAGERIES A.D.P  INC.","00:00:00","19:30:00",
"Lundi","50013","101465","MESSAGERIES A.D.P  INC.","00:00:00","09:30:00",
"Lundi","50006","145969","MIDLAND TRANSPORT LIMITED","00:00:00","00:00:00","LIVRAISON"
"Lundi","50007","182019","NASRI  INTERNATIONAL INC","00:00:00","16:00:00",
"Lundi","50001","113300","NATIONEX","00:00:00","18:00:00",
"Lundi","50008","113300","NATIONEX","00:00:00","06:00:00",
"Lundi","50008","113300","NATIONEX","00:00:00","12:00:00",
"Lundi","50009","113300","NATIONEX","00:00:00","18:00:00",
"Lundi","50011","113300","NATIONEX","00:00:00","19:00:00",
"Lundi","50017","113300","NATIONEX","00:00:00","19:15:00",
"Lundi","50024","113300","NATIONEX","00:00:00","19:00:00",
"Lundi","50010","113300","NATIONEX","00:00:00","17:00:00",
"Lundi","50000","113300","NATIONEX","00:00:00","19:30:00",
"Lundi","50005","113300","NATIONEX","00:00:00","12:50:00",
"Lundi","50005","113300","NATIONEX","00:00:00","18:00:00",
"Lundi","50029","113300","NATIONEX","00:00:00","20:00:00",
"Lundi","50018","300618","NATIONEX BLAINVILLE","00:00:00","19:00:00",
"Lundi","50017","300618","NATIONEX BLAINVILLE","00:00:00","21:45:00",
"Lundi","50024","300618","NATIONEX BLAINVILLE","00:00:00","17:45:00",
"Lundi","50029","300620","NATIONEX DRUMMONDVILLE","00:00:00","16:45:00",
"Lundi","50010","300622","NATIONEX SHERBROOKE","00:00:00","19:45:00",
"Lundi","50014","150936","NOBLE GIFT","00:00:00","16:15:00",
"Lundi","50016","302184","NORKA LIVING","00:00:00","14:30:00",
"Lundi","50130","151463","NUTRAMERICA","00:00:00","15:00:00",
"Lundi","57104","301780","OBERSON","00:00:00","16:00:00",
"Lundi","55601","303142","ONE WAY NOVELTIES INC.","00:00:00","13:30:00",""
"Lundi","50017","303452","PARAMEDIC CANADA INC.","00:00:00","16:00:00",""
"Lundi","50008","300968","PNEUS A RABAIS 2","00:00:00","08:30:00","Porte 6 ou 7"
"Lundi","50130","155100","PRIME FOCUS ENDOSCOPY","00:00:00","15:00:00",
