"pickup_date","route_id","customer_id","client","scheduled_start","scheduled_end","shipments_created","shipping_orders_created"
"8/3/2026 12:00:00 AM","50024","145369","MARION DISTRIBUTION","00:00:00","15:15:00","16","16"
"8/3/2026 12:00:00 AM","50001","145425","MARTECH","00:00:00","14:45:00","9","9"
"8/3/2026 12:00:00 AM","50016","145496","MATCO PACKAGING INC","00:00:00","16:00:00","0","0"
"8/3/2026 12:00:00 AM","50009","145898","MEDIATECH","00:00:00","15:30:00","33","33"
"8/3/2026 12:00:00 AM","50018","145915","MEDIQUE MEDICAL SUPPLIES ( MGBR ) INC","00:00:00","15:00:00","10","10"
"8/3/2026 12:00:00 AM","50006","145969","MIDLAND TRANSPORT LIMITED","00:00:00","00:00:00","33","33"
"8/3/2026 12:00:00 AM","50007","182019","NASRI  INTERNATIONAL INC","00:00:00","16:00:00","27","27"
"8/3/2026 12:00:00 AM","50014","150936","NOBLE GIFT","00:00:00","16:15:00","1","1"
"8/3/2026 12:00:00 AM","50016","302184","NORKA LIVING","00:00:00","14:30:00","15","15"
"8/3/2026 12:00:00 AM","50017","303452","PARAMEDIC CANADA INC.","00:00:00","16:00:00","31","31"
"8/3/2026 12:00:00 AM","50008","300968","PNEUS A RABAIS 2","00:00:00","08:30:00","69","69"
"8/3/2026 12:00:00 AM","50017","154786","PRO PNEUS DEMARTIGNY INC","00:00:00","13:00:00","0","0"
"8/3/2026 12:00:00 AM","50002","159947","PRODUITS SANITAIRES ROYAL NET INC.","00:00:00","15:00:00","7","7"
"8/3/2026 12:00:00 AM","50002","163000","PROMOTION DU LIVRE SDM INC","00:00:00","13:45:00","0","0"
"8/3/2026 12:00:00 AM","50013","301566","PROMOTION RODEL","00:00:00","15:50:00","12","12"
"8/3/2026 12:00:00 AM","50013","102620","PROMOTIONS ATLANTIQUES","00:00:00","13:40:00","3","3"
"8/3/2026 12:00:00 AM","50004","156203","PROMOTIONS C.D. INC.","00:00:00","18:30:00","43","43"
"8/3/2026 12:00:00 AM","50009","158563","QUINCAILLERIE RICHELIEU LTEE","00:00:00","20:00:00","0","0"
"8/3/2026 12:00:00 AM","50001","102680","QUINCAILLERIE RICHELIEU LTEE RELIABLE","00:00:00","17:25:00","21","21"
"8/3/2026 12:00:00 AM","50029","158800","ROCHELEAU","00:00:00","15:15:00","40","40"
"8/3/2026 12:00:00 AM","50029","161402","SANI-MARC INC.","00:00:00","15:45:00","38","38"
"8/3/2026 12:00:00 AM","50011","161425","SARSTEDT INC.                           ","00:00:00","15:00:00","62","62"
"8/3/2026 12:00:00 AM","50002","303538","SHIPTO 2","00:00:00","14:00:00","0","0"
"8/3/2026 12:00:00 AM","50012","303003","SIMONS PICKUP ST-BRUNO","00:00:00","15:30:00","0","0"
"8/3/2026 12:00:00 AM","50024","303547","SPI HEALTH & SAFETY","00:00:00","17:30:00","13","13"
"8/3/2026 12:00:00 AM","50018","302891","SUPERIOR SANY SOLUTIONS DIV. IMPERIAL DADE","00:00:00","14:45:00","26","26"
"8/3/2026 12:00:00 AM","50013","102570","SUPPLEMENTS AROMATIK INC.","00:00:00","15:15:00","11","11"
"8/3/2026 12:00:00 AM","50016","164964","SUZY'S INC","00:00:00","14:30:00","1","1"
"8/3/2026 12:00:00 AM","50001","302225","TANDEM 3PL","00:00:00","15:00:00","32","32"
"8/3/2026 12:00:00 AM","50011","302190","TECHNOLOGIES EDUCATIO INC","00:00:00","14:00:00","43","43"
"8/3/2026 12:00:00 AM","50001","302293","UPSIDEDRINKS.CA","00:00:00","15:15:00","31","31"
"8/3/2026 12:00:00 AM","50012","168059","V-TO INC. ( ST-HYACINTHE )","00:00:00","14:30:00","27","27"
"8/3/2026 12:00:00 AM","50024","302414","WAREHOUSE","00:00:00","17:15:00","61","61"
"8/3/2026 12:00:00 AM","50019","165776","TOMRA CANADA INC","15:00:00","13:45:00","29","29"
"8/3/2026 12:00:00 AM","50018","109105","CANAROPA (1954) INC.","16:30:00","16:15:00","13","13"
"8/3/2026 12:00:00 AM","50007","301075","KARINE JONCAS COSMETIQUES","16:30:00","15:15:00","18","18"
"8/3/2026 12:00:00 AM","50013","101472","MESSAGERIES A.D.P. INC. (RETOURS)","16:30:00","10:00:00","2","2"
"8/3/2026 12:00:00 AM","50024","156202","PROLOGUE (RETOURS)","16:30:00","13:00:00","7","7"
"8/3/2026 12:00:00 AM","50014","151185","BAYARD PRESSE CANADA INC ( ADELF )","17:00:00","14:00:00","5","5"
"8/3/2026 12:00:00 AM","50009","109008","CANARM","17:00:00","13:45:00","9","9"
"8/3/2026 12:00:00 AM","50018","105210","D'AMOUR BICYCLE","17:00:00","16:45:00","50","50"
"8/3/2026 12:00:00 AM","50013","301226","GRANDWEST ENTERPRISES DISTAM (EASTERN DIVISION)","17:00:00","16:15:00","17","17"
"8/3/2026 12:00:00 AM","50016","268418","PROVO LTD MTL","17:00:00","16:15:00","8","8"
"8/3/2026 12:00:00 AM","50018","145969","MIDLAND TRANSPORT LIMITED","18:00:00","14:15:00","33","33"
"8/3/2026 12:00:00 AM","50012","112005","BUROPRO CITATION DRUMMONVILLE",,"10:15:00","31","31"
"8/3/2026 12:00:00 AM","50019","114309","DANESCO INC",,"14:30:00","3","3"
"8/3/2026 12:00:00 AM","50012","163860","DISTRIBUTION SIGNATURE INC",,"15:00:00","3","3"
"8/3/2026 12:00:00 AM","50019","303546","FASTCO CANADA",,"15:30:00","16","16"
"8/3/2026 12:00:00 AM","50024","303322","J.E. MONDOU MASCOUCHE",,"20:00:00","3","3"
"8/3/2026 12:00:00 AM","50011","111444","LES EDITIONS C.E.C INC (NAT_FLEX )",,"15:30:00","0","0"
"8/3/2026 12:00:00 AM","50002","164445","LES OLIVERAIES STAVROPOULOS",,"15:30:00","12","12"
"8/3/2026 12:00:00 AM","50010","144885","LUDIK DISTRIBUTION",,"14:45:00","16","16"
"8/3/2026 12:00:00 AM","50002","165506","SPICERS CANADA ULC",,"18:45:00","21","21"
"8/3/2026 12:00:00 AM","50027","112140","TC MEDIA LIVRE INC (COLLECT)",,"14:30:00","6","6"
"8/3/2026 12:00:00 AM","50007","303513","YUPIK",,"15:00:00","1","1"
